q,a
小智,侦探，我是小智，我在呢。
助理,侦探，我是小智，我在呢。
助手,侦探，我是小智，我在呢。
你好,你好，我是小智，你想了解什么事情，我可以帮助调查哦。
你是谁,我是侦探的助理小智呀。
我是谁,侦探，我们赶紧调查案件吧，警方已经委托我们协助调查案件了。
笔记本,调查中没有发现笔记本。
失主是谁,报案者是一名叫于光明的本地居民。
调查附近监控录像,经过对附近街道监控录像调查后，发现案发当天晚上8点多，监控录像中有一位名女性在周围徘徊，经调查，这名女性名字叫王美丽，是一家古董店的老板。
监控录像,经过对附近街道监控录像调查后，发现案发当天晚上8点多，监控录像中有一位名女性在周围徘徊，经调查，这名女性名字叫王美丽，是一家古董店的老板。
附近街道监控录像,经过对附近街道监控录像调查后，发现案发当天晚上8点多，监控录像中有一位名女性在周围徘徊，经调查，这名女性名字叫王美丽，是一家古董店的老板。
失主,失主是家住市中心公寓204房间的一名年轻单身男子。
你都知道什么,我只是个助手，侦探你有什么想要调查的的可以告诉我，我去调查哦。
你调查到了什么,我只是个助手，侦探你有什么想要调查的可以告诉我，我去调查哦。
你有什么发现,我只是个助手，侦探你有什么想要调查的可以告诉我，我去调查哦。
你什么都不知道吗,我在努力调查了，但是确实没有找到任何可疑的线索。
调查附近监控录像,公寓楼内没有安装安保摄像头，因此无法获取到任何相关录像资料。
王美丽年龄,王美丽今年36岁。
王美丽今年多大,王美丽今年36岁。
于光明年龄,王美丽今年26岁。
于光明今年多大,王美丽今年26岁。
孟远方年龄,王美丽今年48岁。
孟远方今年多大,王美丽今年48岁。
检查204房间,对204号房间搜查后，发现屋内的某些家具被搬动过，屋内的某些家具被搬动过，客厅、卧室等均有翻动痕迹，地上物品凌乱，窗户玻璃上有明显的破碎痕迹，室内地上有散落得玻璃碎片。
丢了什么,被盗的物品包括现金、电子产品和失主的画作。
还发现了什么线索吗,我只是个助手，侦探你有什么想要调查的可以告诉我，我去调查哦。
王美丽,调查显示，王美丽，性别：女，已婚，1977年8月24日，职业：古董店店主。王美丽是当地一家古董店的店主，同时也是一位艺术品收藏爱好者。
王美丽是小偷吗,没有证据指明王美丽是这个案子的小偷。
孟远方是小偷吗,没有证据指明孟远方是这个案子的小偷。
于光明是小偷吗,没有证据指明于光明是这个案子的小偷。
王美丽是否和孟远方是恋人关系,没有调查到王美丽和孟远方是恋人关系。建议去和本人了解一下。
王美丽和孟远方是什么关系,调查到孟远方是王美丽的客户，他们私下有艺术品和古董的交易。
调查王美丽,调查显示，王美丽，性别：女，已婚，1977年8月24日，职业：古董店店主。王美丽是当地一家古董店的店主，同时也是一位艺术品收藏爱好者。
王美丽的背景信息,调查显示，王美丽，性别：女，已婚，1977年8月24日，职业：古董店店主。王美丽是当地一家古董店的店主，同时也是一位艺术品收藏爱好者。
王美丽是谁,调查显示，王美丽，性别：女，已婚，1977年8月24日，职业：古董店店主。王美丽是当地一家古董店的店主，同时也是一位艺术品收藏爱好者。
摄像头,公寓楼内没有安装安保摄像头，因此无法获取到任何相关录像资料。
王美丽人呢,点击输入框旁边的头像，可以找到王美丽聊天。
孟远方人呢,点击输入框旁边的头像，可以找到孟远方聊天。
于光明人呢,点击输入框旁边的头像，可以找到于光明聊天。
王美丽在哪里,点击输入框旁边的头像，可以找到王美丽聊天。
孟远方在哪里,点击输入框旁边的头像，可以找到孟远方聊天。
于光明在哪里,点击输入框旁边的头像，可以找到于光明聊天。
我要和王美丽说话,点击输入框旁边的头像，可以找到王美丽聊天。
我要和孟远方说话,点击输入框旁边的头像，可以找到孟远方聊天。
我要和于光明说话,点击输入框旁边的头像，可以找到于光明聊天。
于光明的家人呢,调查到于光明一个人居住在公寓的204房间。
于光明的父母呢,警方已经排除于光明父母家人的嫌疑。
于光明的家庭情况,于光明父母离异多人，于光明从小跟着爷爷奶奶长大。
于光明的工作,调查显示于光明一个年轻有才华的画家。
于光明结婚了吗,调查显示于光明未婚。
于光明有孩子吗,调查到于光明未婚。没有孩子。
于光明家有摄像头吗,于光明家没有发现摄像头。
于光明职业,调查显示于光明一个年轻有才华的画家。
公寓有监控吗,调查公寓没有安装监控设备。
于光明的性别和职业,调查显示报案的人名叫于光明，性别：男，未婚，出生:1987年9月30日，职业：画家。
搜查周围环境,调查到这座公寓位于当地市中心，附近有一家咖啡馆。
邻居,邻居表示在5月14日凌晨1点左右听到了窗户破碎的声音。
于光明的狗,于光明没有养狗。
调查狗,失主家没有养宠物。
于光明的猫,失主家没有养猫。
电子设备,失主家没有养宠物。
于光明的猫,失主家没有养猫。
失窃物品的价值,被盗的物品包括现金、电子设备和3幅画作。据于光明表述，现金大概有1000元，丢失的电子设备是平板电脑和于光明的3幅画作。
调查邮件,邮件没有发现异常。
调查邮箱,调查于光明的邮件，没有发现异常。
调查照片,没有发现可疑的照片。
李雨婷是谁,调查显示李雨婷跟案件无关。
李雨婷和失主认识吗,没有调查到李雨婷和于光明认识。
李雨婷和失主关系怎么样,调查显示李雨婷跟案件无关。
李雨婷,没有调查到李雨婷。
李雨欣,没有调查到李雨欣。
张鹏,没有调查到张鹏。
徐鸣宇,没有调查到徐鸣宇。
霍炎阳,没有调查到霍炎阳。
咖啡馆,调查了咖啡馆老板，他声称5月14日晚上看到王美丽和一个客户在店内交谈，好像在说关于字画什么的吧。
调查咖啡馆,调查了咖啡馆老板，他声称5月14日晚上看到王美丽和一个客户在店内交谈，并且说起了一些画作的话题。
林溪花园,没有调查到林溪花园。
调查王美丽,调查显示，王美丽，性别:女，出生:1977年8月24日，已婚，职业：古董店店主。王美丽是当地一家古董店的店主，同时也是一位艺术品收藏爱好者。
查孟远方,调查显示，孟远方，性别：男，已婚，1965年1月16日，职业：艺术品收藏家。他并非出身于富裕家庭，而是靠着自己对艺术的热爱和敏锐的眼光逐渐积累了丰富的收藏品，在当地收藏界也算备受瞩目的人物。
调查孟远方,调查显示，孟远方，性别：男，已婚，1965年1月16日，职业：艺术品收藏家。他并非出身于富裕家庭，而是靠着自己对艺术的热爱和敏锐的眼光逐渐积累了丰富的收藏品，在当地收藏界也算备受瞩目的人物。
孟远方,调查显示，孟远方，性别：男，已婚，1965年1月16日，职业：艺术品收藏家。他并非出身于富裕家庭，而是靠着自己对艺术的热爱和敏锐的眼光逐渐积累了丰富的收藏品，在当地收藏界也算备受瞩目的人物。
调查于光明,调查显示，报警的居民名字叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
于光明,调查显示，报警的居民名字叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
于光明的妹妹叫什么名字,调查显示于光明没有兄弟姐妹。
于光明的父母呢,调查于光明父母离异多年，现在一个人生活。
调查于光明同事,没有调查到于光明的同事。
王美丽同事,没有调查到王美丽的同事。
咖啡馆距离公寓多远,大概500米的距离。
调查于光明的电脑,调查了于光明的电脑，没有发现异常信息。
于光明电脑,调查了于光明的电脑，没有发现异常信息。
谜字贴,谜字帖是当地独有的-种字帖，在元宵节的时候会免费发放，每张谜字帖上会有一个谜题。这张谜字帖的内容如下\n谜题：\n我身形矮小，却能承载整个世界。\n不是生命，却能让生命延续。\n我没有嘴巴，却能传达信息。\n我在你的身体中，但不是你的仆人。
调查谜字贴,谜字帖是当地独有的-种字帖，在元宵节的时候会免费发放，每张谜字帖上会有一个谜题。这张谜字帖的内容如下\n谜题：\n我身形矮小，却能承载整个世界。\n不是生命，却能让生命延续。\n我没有嘴巴，却能传达信息。\n我在你的身体中，但不是你的仆人。
一个人住,于光明是独自一个人居住。
嫌疑人在哪呢,侦探我们需要调查案件， 逐步推进才能发现嫌疑人。
动机,需要去找每个嫌疑人的动机
王美丽和于光明的关系,建议去和本人了解一下。
于光明和孟远方的关系,建议去和本人了解一下。
王美丽和孟远方的关系,建议去和本人了解一下。
破案,案件现在谜团重重，需要侦探协助侦破呢。
成功,我不太懂你说的是什么呢，我们还是赶快侦破此案吧。
线索,侦探要仔细观察每个细节，可能线索就隐藏在里面呢。
手机,于光明的手机没有调查到什么。
搜查指纹,没有发现可疑指纹。
警察,你想要知道什么信息呢
警方调查,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
警察调查,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
妹妹,调查于光明没有兄弟姐妹。
住所,于光明住在公寓204房间。
卧室,204房间的卧室有被翻动的痕迹。
客厅,204房间的客厅有被翻动的痕迹。
于光明信息,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
个人信息,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
于光明档案,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
个人资料,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
