q,a
行李箱,我没见过这个行李箱，也没去过于光明的画室。
工作室,我没去过于光明的工作室。
王美丽,侦探你好，我是王美丽。
你好,侦探你好。
你是谁,我是王美丽，古董店的老板。
我是谁,你是侦探啊
你今年多大,我的出生日期是1977年8月24日，今年36岁。
你几岁,我今年36岁。
你的年龄,您还是关注下案件吧。
这本书是讲什么的,我平时不看书。
你跟失主认识吗,我见过于光明，他是个画家。
5月14日凌晨你在哪里,凌晨我肯定在家睡觉啊。
你去过于光明家吗,没有，我没去过他家。
咖啡馆,5月14日那天晚上我是要去公寓附近的咖啡馆，我约了客户孟远方看最近收的字画的收藏价值。
你和于光明经常见面吗,偶尔吧，我知道他，我喜欢收藏字画艺术品什么的，看过他画的画，还不错。
你们上次见面是什么时候,好几天之前了吧，他来我店里推销他的作品。
你5月14日晚上你去干嘛了,5月14日那天晚上我是要去公寓附近的咖啡馆，但我并不知道附近发生了盗窃案。
你认识于光明吗,我见过于光明，他是个画家，不过我们不熟。
于光明住在哪里,我不知道于光明住哪里。
失主住在哪个小区,我不知道。
你和于光明关系怎么样,我跟于光明不熟，我只知道他是个画家，有些作品不错。
你结婚了吗,我已经结婚了。
于光明结婚了吗,这个我不知道，我跟他不熟。
你是单身吗,我已经结婚了。
你爸爸呢,我家人跟案件没有关系。
你喜欢什么,我喜欢古董和艺术品。
于光明爱好是什么,我不知道。
你的性格怎么样,这跟案件无关吧。
于光明喜欢什么,我不太清楚。
你了解于光明吗,我只知道他是个画家，有些作品不错。
于光明性格怎么样,我们不熟，我不太清楚。
于光明有什么朋友,我们不熟，我不太清楚。
你父母呢,我们的父母跟案件没有关系。
你和于光明有交易吗,我买过他的一副画作。
孟远方,孟远方是个艺术收藏家，他经常光顾我的古董店。
你知道孟远方和于光明认识吗,我不知道。
盗窃,我并不知道这附近发生了盗窃案。
监控录像,那天晚上我去公寓附近的咖啡馆，但我并不知道附近发生了盗窃案。
你5月14日在干嘛,5月14日白天我在店里，晚上约了客户去公寓附近的咖啡馆。
你觉得谁有嫌疑,我不是很清楚。
你觉得谁是凶手,我不知道。
孟远方你了解吗,孟远方是我的客户，他经常光顾我的古董店。
你认识孟远方吗,我认识孟远方，他是我的客户，他经常光顾我的古董店。
案发当天你在干嘛,5月14日那天晚上我是去公寓附近的咖啡馆，但我并不知道附近发生了盗窃案，我和案子没有关系。
孟远方和于光明是什么关系,孟远方是我的客户，于光明我知道是个很有潜力的画家，我不知道他们他们关系怎么样。
你见过孟远方吗,见过，孟远方是我古董店的常客。
你是凶手吗,我不知道你在说什么，我什么都没做！
你是凶手,我不知道你在说什么，我什么都没做！
你同意了吗,我说会考虑的，我手下了他的这副画作。
谜字贴,这个我没猜出来。
DNA,嗯~DNA，确实是谜字贴的谜底。
中年男性,那天在咖啡馆的中年男性是我古董店的常客，他叫孟远方，是当地比较出名的艺术品收藏家。
客户,我要见的客户叫孟远方，他是我古董店的常客。
于光明的画怎么样,我对于画作不太懂，不太好评价，可以请教孟远方，他对画作很有研究，可以听听他的见解。
于光明画室,我没去过于光明的工作画室。
于光明的画室,调我没去过于光明的工作画室。
画室,我没去过于光明的工作画室。
