q,a
工作室,我没去过于光明的工作室。
行李箱,我没见过这个行李箱。
204房间,我没去过这个公寓，不知道204发生了盗窃。
咖啡馆,我经常光顾这家咖啡馆，他们家咖啡很好喝。
你和于光明什么关系,我和于光明没什么关系，我知道他是个年轻的画家，我看过他的画，有些画的很不错。
年龄，性别,我今年48岁，性别：男。
你和于光明有矛盾吗,没有，我们没有矛盾。
小型画廊,我上次去这家画廊时，碰到了于光明，一个年轻的画家，他渴望着在艺术界赢得更多的认可和名声。
你好,你好。
你是谁,我是孟远方。
我是谁,您是侦探，侦探。
你在说谎,我都是如实回答，没有说谎。
失窃物品,听说失窃物品中有几幅画作，真的可惜呀。
监控录像,是的，5月14日晚上8点半，我和王美丽约在附近的咖啡馆见面，她最近收到几幅字画，想让我帮她看看。
年龄，性别,侦探，我年龄：48岁，性别：男
你和于光明是什么关系,我和于光明不熟，我知道他是个年轻的画家，我看过他的画，有些画的很不错。
你和于光明最近有联系吗,最近我们没有联系。
你和于光明怎么认识的,我在当地一个小型画廊见过于光明，当时我在欣赏他的画，他过来跟我搭讪的。
你好,你好，我是孟远方。
你是谁,我是孟远方。
我是谁,你是侦探....
孟远方,你好，我是孟远方。
于光明,我在当地一个小型画廊见过于光明，他是一位青年画家。他的作品给我留下了深刻的印象。我曾购买过他的一幅作品。
你认识于光明吗,是的，我在当地一个小型画廊见过于光明，他是一位青年画家。他的作品给我留下了深刻的印象。我曾购买过他的一幅作品。
你认识王美丽吗,是的，我经常光顾王美丽的店铺，她总能收到很不错的艺术品，我从她那买过不少东西。
王美丽,我经常光顾王美丽的店铺，她总能收到很不错的艺术品，我从她那买过不少东西。
于光明住在哪里，你知道吗,好像住咖啡馆附近吧，我在这附近见过他，不过具体住哪个小区我不知道。
于光明职业,我知道他是个画家。
案发时你去了哪,5月14日晚上8点半，我和王美丽约在附近的咖啡馆见面，她最近收到几幅字画，想让我帮她看看。大概9点多结束，我就回家了。没有再出门。
你5月14日去干嘛了,5月14日晚上8点半，我和王美丽约在附近的咖啡馆见面，她最近收到几幅字画，想让我帮她看看。大概9点多结束，我就回家了。没有再出门。
你住在哪里,我住在朝和花园小区。
你住在哪个小区,我住朝和花园小区。
你住几号楼几层,我住在朝和花园小区12号楼1层。
图书馆,我去过当地的图书馆，藏书很多，还不错。
公共厨房,我不知道说的是哪里。
你去过于光明家吗,没有，我没去过于光明家。
你去过公寓吗,没有，我没去过这个公寓。
你今年多大,我今年48岁，这跟案件无关吧。
谜字贴,这个谜字贴我也没有头绪。
DNA,看来你猜出来了谜字贴的谜底，恭喜你呀。
交易记录,我和王美丽的联系仅仅只是普通的交易关系。
于光明的画怎么样,于光明的画敢于突破传统的艺术界限，展现出了他自己独特的风格和视角。他的作品充满了想象力和创造力，给人一种前所未有的艺术体验。无论是色彩的运用还是形象的塑造，他都展现出了成熟的技巧和独到的见解，虽然他还是新人，但我希望他的作品被更多的人看到。
于光明画室,我没去过于光明工作的画室。
于光明的画室,调我没去过于光明工作的画室。
画室,我没去过于光明工作的画室。
