q,a
204房间,我住在公寓204房间，5月14日晚上不在家，15日早上回家发现家里被盗窃了。
你和于光明什么关系,我就是于光明。
年龄，性别,我今年28岁，性别：男。
你有仇人吗,我没有仇人~最近也没有跟什么人发生过冲突。
工作室,我平时会在工作室画画，有时候会创作到很晚，偶尔会在这里过夜。
画室,我平时会在工作的画室画画，有时候会创作到很晚，偶尔会在这里过夜。
于光明的画室,我平时会在工作的画室画画，有时候会创作到很晚，偶尔会在这里过夜。
你的画室,我平时会在工作的画室画画，有时候会创作到很晚，偶尔会在这里过夜。
行李箱,请不要动我的行李箱，里面有我的个人隐私~
小型画廊,我是签约这家画廊的画家，我的作品会展出在这里，真希望有人能够发现我这颗闪耀的新星。
你好,你好。
你是谁,我是于光明。
我是谁,您是侦探，侦探。
你在说谎,我都是如实回答，没有说谎。
你住在哪里,我住在这个公寓的204房间。
交易记录,我不知道什么交易记录。
案发当天你去哪里了,我14号晚上没有回家，那天是在画室过夜的，我有时候创作会到很晚，就直接睡在画室里。
你哪天生日,我的生日是9月30日。
5月14日,5月14日那天我不在家，那天是在画室过夜的，我有时候创作会到很晚，就直接睡在画室里。
你去哪里了,那天是在画室过夜的，我有时候创作会到很晚，就直接睡在画室里。
你去过当地图书馆吗,我以前去过图书馆，不过最近很少去。
你知道彩虹酒吧吗,我不知道这个酒吧。
你认识孟远方吗,孟远方是当地比较有名的收藏家，我在画廊见过一次孟远方。他还买了我的画。
孟远方,孟远方是当地比较有名的收藏家，我在画廊见过一次孟远方。他还买了我的画。
你认识王美丽吗,我见过王美丽，王美丽是古董店的老板，我前几天还去她的店铺想要推广我的作品，她当时收了我的画作，说要考虑一下。
王美丽,王美丽是当地古董店的老板，我前几天还去她的店铺想要推广我的作品，她当时收了我的画作，说要考虑一下。
你住在哪里,我住在市中心的公寓204房间。
你住在哪个小区,我住在市中心的公寓204房间。
你住几号楼几层,我住在市中心的公寓204房间。
于光明,我是于光明。
图书馆,我偶尔去图书馆看书。
张鹏,我不认识这个人。 
你是凶手吗,不是，我不知道你在说什么！
你是凶手,不是，我不知道你在说什么！
谜字贴,这个谜字贴我也没有头绪。
DNA,看来你猜出来了谜字贴的谜底，恭喜你呀。
监控录像,我认识监控中的这个人，她是一家古董店的老板，我前几天去她的店里推销过我的画作。
咖啡馆,我知道这个咖啡馆，就在公寓附近。
